,taxon,parent,count,count_norm,avg,tax_name,tax_rank,tax_color
ubiome_bacteriacounts.51,526525,526524,2885,11417,NA,Erysipelotrichales,order,NA
ubiome_bacteriacounts.52,128827,526525,2879,11394,NA,Erysipelotrichaceae,family,NA
ubiome_bacteriacounts.53,207244,186803,2879,11394,NA,Anaerostipes,genus,NA
ubiome_bacteriacounts.54,909932,1239,2773,10974,NA,Negativicutes,class,NA
ubiome_bacteriacounts.55,201174,2,2773,10974,NA,Actinobacteria,phylum,73C7D7
ubiome_bacteriacounts.56,909929,909932,2773,10974,NA,Selenomonadales,order,NA
ubiome_bacteriacounts.57,1760,201174,2771,10966,NA,Actinobacteria,class,NA
ubiome_bacteriacounts.58,649756,207244,2619,10365,NA,Anaerostipes hadrus,species,NA
ubiome_bacteriacounts.59,46503,375288,2505,9914,NA,Parabacteroides merdae,species,NA
ubiome_bacteriacounts.60,28050,186803,2322,9189,NA,Lachnospira,genus,NA
ubiome_bacteriacounts.61,328813,239759,2297,9090,NA,Alistipes onderdonkii,species,NA
ubiome_bacteriacounts.62,85003,1760,2251,8908,NA,Actinobacteridae,subclass,NA
ubiome_bacteriacounts.63,85004,85003,2160,8548,NA,Bifidobacteriales,order,NA
ubiome_bacteriacounts.64,31953,85004,2160,8548,NA,Bifidobacteriaceae,family,NA
ubiome_bacteriacounts.65,1678,31953,2141,8473,NA,Bifidobacterium,genus,NA
ubiome_bacteriacounts.66,356829,1678,2096,8295,NA,Bifidobacterium tsurumiense,species,NA
ubiome_bacteriacounts.67,200630,186804,1930,7638,NA,unclassified Peptostreptococcaceae,no_rank,NA
ubiome_bacteriacounts.68,1411023,200630,1908,7551,NA,unclassified Peptostreptococcaceae (miscellaneous),no_rank,NA
ubiome_bacteriacounts.69,747603,1411023,1908,7551,NA,Peptostreptococcaceae bacterium TM5,species,NA
ubiome_bacteriacounts.70,577310,995019,1892,7488,NA,Parasutterella,genus,NA
ubiome_bacteriacounts.71,995019,80840,1892,7488,NA,Sutterellaceae,family,NA
ubiome_bacteriacounts.72,487175,577310,1858,7353,NA,Parasutterella excrementihominis,species,NA
ubiome_bacteriacounts.73,583272,841,1745,6906,NA,Roseburia sp. 11SE38,species,NA
ubiome_bacteriacounts.74,544448,2,1606,6356,NA,Tenericutes,phylum,NA
ubiome_bacteriacounts.75,31969,544448,1606,6356,NA,Mollicutes,class,NA
ubiome_bacteriacounts.76,31977,909929,1604,6348,NA,Veillonellaceae,family,NA
ubiome_bacteriacounts.77,68525,1224,1535,6075,NA,delta/epsilon subdivisions,subphylum,NA
ubiome_bacteriacounts.78,39948,31977,1526,6039,NA,Dialister,genus,NA
ubiome_bacteriacounts.79,28221,68525,1520,6015,NA,Deltaproteobacteria,class,NA
ubiome_bacteriacounts.80,508458,2,1502,5944,NA,Synergistetes,phylum,NA
ubiome_bacteriacounts.81,649775,508458,1502,5944,NA,Synergistia,class,NA
ubiome_bacteriacounts.82,46205,186803,1502,5944,NA,Pseudobutyrivibrio,genus,NA
ubiome_bacteriacounts.83,649777,649776,1502,5944,NA,Synergistaceae,family,NA
ubiome_bacteriacounts.84,649776,649775,1502,5944,NA,Synergistales,order,NA
ubiome_bacteriacounts.85,91061,1239,1495,5916,NA,Bacilli,class,NA
ubiome_bacteriacounts.86,75682,80840,1488,5889,NA,Oxalobacteraceae,family,NA
ubiome_bacteriacounts.87,963,75682,1466,5802,NA,Herbaspirillum,genus,NA
ubiome_bacteriacounts.88,186826,91061,1435,5679,NA,Lactobacillales,order,NA
ubiome_bacteriacounts.89,1236,1224,1422,5628,NA,Gammaproteobacteria,class,NA
ubiome_bacteriacounts.90,292632,541000,1390,5501,NA,Subdoligranulum,genus,NA
ubiome_bacteriacounts.91,213115,28221,1283,5077,NA,Desulfovibrionales,order,NA
ubiome_bacteriacounts.92,194924,213115,1281,5070,NA,Desulfovibrionaceae,family,NA
ubiome_bacteriacounts.93,72274,1236,1231,4872,NA,Pseudomonadales,order,NA
ubiome_bacteriacounts.94,135621,72274,1229,4864,NA,Pseudomonadaceae,family,NA
ubiome_bacteriacounts.95,214851,292632,1175,4650,NA,Subdoligranulum variabile,species,NA
ubiome_bacteriacounts.96,333046,171549,1170,4630,NA,unclassified Bacteroidales,no_rank,NA
ubiome_bacteriacounts.97,28211,1224,1142,4519,NA,Alphaproteobacteria,class,NA
ubiome_bacteriacounts.98,909930,909929,1135,4492,NA,Acidaminococcaceae,family,NA
ubiome_bacteriacounts.99,185291,333046,1125,4452,NA,unclassified Bacteroidales (miscellaneous),no_rank,NA
ubiome_bacteriacounts.100,1118061,185291,1125,4452,NA,Bacteroidales bacterium ph8,species,NA
ubiome_bacteriacounts.101,186813,186802,1116,4417,NA,unclassified Clostridiales,no_rank,NA
ubiome_bacteriacounts.102,574697,171551,1099,4349,NA,Butyricimonas,genus,NA
ubiome_bacteriacounts.103,28118,283168,1090,4314,NA,Odoribacter splanchnicus,species,NA
ubiome_bacteriacounts.104,360807,841,1075,4254,NA,Roseburia inulinivorans,species,NA
ubiome_bacteriacounts.105,204458,28211,1053,4167,NA,Caulobacterales,order,NA
ubiome_bacteriacounts.106,76892,204458,1051,4159,NA,Caulobacteraceae,family,NA
ubiome_bacteriacounts.107,41275,76892,1049,4151,NA,Brevundimonas,genus,NA
ubiome_bacteriacounts.108,39779,186813,1049,4151,NA,unclassified Clostridiales (miscellaneous),no_rank,NA
ubiome_bacteriacounts.109,1300,186826,1046,4140,NA,Streptococcaceae,family,NA
ubiome_bacteriacounts.110,35832,194924,1009,3993,NA,Bilophila,genus,NA
ubiome_bacteriacounts.111,1301,1300,1007,3985,NA,Streptococcus,genus,NA
ubiome_bacteriacounts.112,35833,35832,1005,3977,NA,Bilophila wadsworthia,species,NA
ubiome_bacteriacounts.113,638847,649777,991,3922,NA,Pyramidobacter,genus,NA
ubiome_bacteriacounts.114,1266,31979,973,3851,NA,Sarcina,genus,NA
ubiome_bacteriacounts.115,189330,186803,905,3582,NA,Dorea,genus,NA
ubiome_bacteriacounts.116,33024,909930,883,3494,NA,Phascolarctobacterium,genus,NA
ubiome_bacteriacounts.117,33025,33024,881,3487,NA,Phascolarctobacterium faecium,species,NA
ubiome_bacteriacounts.118,871665,572511,686,2715,NA,Blautia faecis,species,NA
ubiome_bacteriacounts.119,544645,574697,623,2466,NA,Butyricimonas virosa,species,NA
ubiome_bacteriacounts.120,191303,128827,608,2406,NA,Turicibacter,genus,NA
ubiome_bacteriacounts.121,620860,39779,573,2268,NA,Clostridiales bacterium L2-14,species,NA
ubiome_bacteriacounts.122,135036,135034,524,2074,NA,Dialister sp. oral clone BS095,species,NA
ubiome_bacteriacounts.123,135034,39948,524,2074,NA,environmental samples,no_rank,NA
ubiome_bacteriacounts.124,84999,84998,516,2042,NA,Coriobacteriales,order,NA
ubiome_bacteriacounts.125,255727,84999,516,2042,NA,Coriobacterineae,suborder,NA
ubiome_bacteriacounts.126,84998,1760,516,2042,NA,Coriobacteridae,subclass,NA
ubiome_bacteriacounts.127,84107,255727,503,1991,NA,Coriobacteriaceae,family,NA
ubiome_bacteriacounts.128,2753,649777,502,1987,NA,Synergistes,genus,NA
ubiome_bacteriacounts.129,457415,2753,469,1856,NA,Synergistes sp. 3_1_syn1,species,NA
ubiome_bacteriacounts.130,227526,1485,436,1725,NA,Clostridium sp. MDA2315,species,NA
ubiome_bacteriacounts.131,278082,1313211,429,1698,NA,Victivallales,no_rank,NA
ubiome_bacteriacounts.132,256845,51290,429,1698,NA,Lentisphaerae,phylum,NA
ubiome_bacteriacounts.133,1313211,256845,429,1698,NA,Lentisphaeria,class,NA
ubiome_bacteriacounts.134,255528,278082,422,1670,NA,Victivallaceae,family,NA
ubiome_bacteriacounts.135,244127,541000,387,1532,NA,Anaerotruncus,genus,NA
ubiome_bacteriacounts.136,33958,186826,386,1528,NA,Lactobacillaceae,family,NA
ubiome_bacteriacounts.137,1578,33958,386,1528,NA,Lactobacillus,genus,NA
ubiome_bacteriacounts.138,573638,573637,384,1520,NA,Victivallaceae bacterium NML 080035,species,NA
ubiome_bacteriacounts.139,573637,255528,384,1520,NA,unclassified Victivallaceae,no_rank,NA
ubiome_bacteriacounts.140,706562,1578,325,1286,NA,Lactobacillus rogosae,species,NA
ubiome_bacteriacounts.141,1561,1485,309,1223,NA,Clostridium baratii,species,NA
ubiome_bacteriacounts.142,252702,39779,269,1065,NA,butyrate-producing bacterium ART55/1,order,NA
ubiome_bacteriacounts.143,48479,2,269,1065,NA,environmental samples,no_rank,NA
ubiome_bacteriacounts.144,186807,186802,260,1029,NA,Peptococcaceae,family,NA
ubiome_bacteriacounts.145,410072,33042,237,938,NA,Coprococcus comes,species,NA
ubiome_bacteriacounts.146,904,909930,206,815,NA,Acidaminococcus,genus,NA
ubiome_bacteriacounts.147,905,904,204,807,NA,Acidaminococcus fermentans,species,NA
ubiome_bacteriacounts.148,872,194924,202,799,NA,Desulfovibrio,genus,NA
ubiome_bacteriacounts.149,134222,872,202,799,NA,environmental samples,no_rank,NA
ubiome_bacteriacounts.150,134223,134222,197,780,NA,Desulfovibrio sp. oral clone BB161,species,NA
ubiome_bacteriacounts.151,592978,1263,195,772,NA,Ruminococcus faecis,species,NA
ubiome_bacteriacounts.152,291644,816,189,748,NA,Bacteroides salyersiae,species,NA
ubiome_bacteriacounts.153,653683,31979,186,736,NA,Anaerosporobacter,genus,NA
ubiome_bacteriacounts.154,691811,1485,185,732,NA,Clostridium sp. AUH-JLC235,species,NA
ubiome_bacteriacounts.155,186806,186802,161,637,NA,Eubacteriaceae,family,NA
ubiome_bacteriacounts.156,1308,1301,160,633,NA,Streptococcus thermophilus,species,NA
ubiome_bacteriacounts.157,116085,33042,158,625,NA,Coprococcus catus,species,NA
ubiome_bacteriacounts.158,1229957,361210,158,625,NA,Porphyromonadaceae bacterium AIP925.11,species,NA
ubiome_bacteriacounts.159,361210,171551,158,625,NA,unclassified Porphyromonadaceae,no_rank,NA
ubiome_bacteriacounts.160,216572,186802,154,609,NA,Oscillospiraceae,family,NA
ubiome_bacteriacounts.161,459786,216572,149,590,NA,Oscillibacter,genus,NA
ubiome_bacteriacounts.162,2740,186807,145,574,NA,Peptococcus,genus,NA
ubiome_bacteriacounts.163,1730,186806,134,530,NA,Eubacterium,genus,NA
ubiome_bacteriacounts.164,150333,31979,126,499,NA,Thermobrachium,genus,NA
ubiome_bacteriacounts.165,320882,1485,124,491,NA,Clostridium sp. ID5,species,NA
ubiome_bacteriacounts.166,446660,447020,120,475,NA,Adlercreutzia equolifaciens,species,NA
ubiome_bacteriacounts.167,447020,84107,120,475,NA,Adlercreutzia,genus,NA
ubiome_bacteriacounts.168,39484,1730,117,463,NA,Eubacterium desmolans,species,NA
ubiome_bacteriacounts.169,320877,1263,116,459,NA,Ruminococcus sp. ID1,species,NA
ubiome_bacteriacounts.170,543,91347,114,451,NA,Enterobacteriaceae,family,NA
ubiome_bacteriacounts.171,91347,1236,114,451,NA,Enterobacteriales,order,NA
ubiome_bacteriacounts.172,131550,2,111,439,NA,Fibrobacteres/Acidobacteria group,superphylum,NA
ubiome_bacteriacounts.173,57723,131550,109,431,NA,Acidobacteria,phylum,NA
ubiome_bacteriacounts.174,545498,244127,95,376,NA,Anaerotruncus sp. NML 070203,species,NA
ubiome_bacteriacounts.175,631628,48479,94,372,NA,iron-reducing bacterium enrichment culture clone FeC_1_A3,species,NA
ubiome_bacteriacounts.176,1217281,574697,93,368,NA,Butyricimonas sp. 214-4,species,NA
ubiome_bacteriacounts.177,2037,85003,91,360,NA,Actinomycetales,order,NA
ubiome_bacteriacounts.178,877428,49928,88,348,NA,rumen bacterium NK4A214,species,NA
ubiome_bacteriacounts.179,340474,49928,88,348,NA,butyrate-producing bacterium PH05YA09,species,NA
ubiome_bacteriacounts.180,915177,39779,83,328,NA,Clostridiales bacterium 60-7e,species,NA
ubiome_bacteriacounts.181,245019,39779,77,305,NA,butyrate-producing bacterium SR1/1,order,NA
ubiome_bacteriacounts.182,665949,195950,77,305,NA,Tannerella sp. 6_1_58FAA_CT1,species,NA
ubiome_bacteriacounts.183,195950,171551,77,305,NA,Tannerella,genus,NA
ubiome_bacteriacounts.184,458031,57723,76,301,NA,unclassified Acidobacteria,no_rank,NA
ubiome_bacteriacounts.185,329854,816,75,297,NA,Bacteroides intestinalis,species,NA
ubiome_bacteriacounts.186,665956,292632,73,289,NA,Subdoligranulum sp. 4_3_54A2FAA,species,NA
ubiome_bacteriacounts.187,69541,28221,70,277,NA,Desulfuromonadales,order,NA
ubiome_bacteriacounts.188,213422,69541,70,277,NA,Geobacteraceae,family,NA
ubiome_bacteriacounts.189,990721,990719,68,269,NA,Christensenella,genus,NA
ubiome_bacteriacounts.190,596767,541000,65,257,NA,Hydrogenoanaerobacterium,genus,NA
ubiome_bacteriacounts.191,85007,2037,60,237,NA,Corynebacterineae,suborder,NA
ubiome_bacteriacounts.192,1385,91061,58,230,NA,Bacillales,order,NA
ubiome_bacteriacounts.193,209879,31977,51,202,NA,Allisonella,genus,NA
ubiome_bacteriacounts.194,1505663,128827,49,194,NA,Erysipelatoclostridium,genus,NA
ubiome_bacteriacounts.195,29348,1505663,49,194,NA,[Clostridium] spiroforme,species,NA
ubiome_bacteriacounts.196,102106,84107,48,190,NA,Collinsella,genus,NA
ubiome_bacteriacounts.197,84024,1485,46,182,NA,Clostridium disporicum,species,NA
ubiome_bacteriacounts.198,1146723,49928,46,182,NA,bacterium NLAE-zl-P827,species,NA
ubiome_bacteriacounts.199,766,28211,45,178,NA,Rickettsiales,order,NA
ubiome_bacteriacounts.200,186928,186803,45,178,NA,unclassified Lachnospiraceae,no_rank,NA
ubiome_bacteriacounts.201,655183,1578,44,174,NA,Lactobacillus casei group,species_group,NA
ubiome_bacteriacounts.202,1597,655183,44,174,NA,Lactobacillus paracasei,species,NA
ubiome_bacteriacounts.203,999419,387661,43,170,NA,Parabacteroides johnsonii CL02T12C29,no_rank,NA
ubiome_bacteriacounts.204,830,186803,43,170,NA,Butyrivibrio,genus,NA
ubiome_bacteriacounts.205,46228,1263,43,170,NA,Ruminococcus lactaris,species,NA
ubiome_bacteriacounts.206,387661,375288,43,170,NA,Parabacteroides johnsonii,species,NA
ubiome_bacteriacounts.207,658081,186928,41,162,NA,Lachnospiraceae bacterium 1_1_57FAA,species,NA
ubiome_bacteriacounts.208,871664,572511,41,162,NA,Blautia stercoris,species,NA
ubiome_bacteriacounts.209,946234,186813,40,158,NA,Flavonifractor,genus,NA
ubiome_bacteriacounts.210,1653,85007,39,154,NA,Corynebacteriaceae,family,NA
ubiome_bacteriacounts.211,172900,255528,38,150,NA,Victivallis,genus,NA
ubiome_bacteriacounts.212,675996,48479,37,146,NA,bacterium enrichment culture clone Ecwsrb035,species,NA
ubiome_bacteriacounts.213,214856,239759,36,142,NA,Alistipes finegoldii,species,NA
ubiome_bacteriacounts.214,105832,39779,36,142,NA,butyrate-producing bacterium L1-93,species,NA
ubiome_bacteriacounts.215,1716,1653,36,142,NA,Corynebacterium,genus,NA
ubiome_bacteriacounts.216,460384,1485,35,139,NA,Clostridium lavalense,species,NA
ubiome_bacteriacounts.217,172901,172900,35,139,NA,Victivallis vadensis,species,NA
ubiome_bacteriacounts.218,554,122277,34,135,NA,Pectobacterium carotovorum,species,NA
ubiome_bacteriacounts.219,122277,543,34,135,NA,Pectobacterium,genus,NA
ubiome_bacteriacounts.220,942,766,34,135,NA,Anaplasmataceae,family,NA
ubiome_bacteriacounts.221,45456,28221,32,127,NA,unclassified Deltaproteobacteria,no_rank,NA
ubiome_bacteriacounts.222,122706,45456,32,127,NA,unclassified Deltaproteobacteria (miscellaneous),no_rank,NA
ubiome_bacteriacounts.223,1357,1300,31,123,NA,Lactococcus,genus,NA
ubiome_bacteriacounts.224,1358,1357,31,123,NA,Lactococcus lactis,species,NA
ubiome_bacteriacounts.225,106181,943,30,119,NA,unclassified Ehrlichia,no_rank,NA
ubiome_bacteriacounts.226,943,942,30,119,NA,Ehrlichia,genus,NA
ubiome_bacteriacounts.227,547,543,29,115,NA,Enterobacter,genus,NA
ubiome_bacteriacounts.228,550,354276,29,115,NA,Enterobacter cloacae,species,NA
ubiome_bacteriacounts.229,292800,946234,29,115,NA,Flavonifractor plautii,species,NA
ubiome_bacteriacounts.230,68298,186802,29,115,NA,Syntrophomonadaceae,family,NA
ubiome_bacteriacounts.231,354276,547,29,115,NA,Enterobacter cloacae complex,species_group,NA
ubiome_bacteriacounts.232,106588,1017280,27,107,NA,Pseudoflavonifractor capillosus,species,NA
ubiome_bacteriacounts.233,1017280,186813,27,107,NA,Pseudoflavonifractor,genus,NA
ubiome_bacteriacounts.234,1217283,1485,27,107,NA,Clostridium sp. 619,species,NA
ubiome_bacteriacounts.235,413496,543,25,99,NA,Cronobacter,genus,NA
ubiome_bacteriacounts.236,61170,128827,25,99,NA,Holdemania,genus,NA
ubiome_bacteriacounts.237,28141,413496,25,99,NA,Cronobacter sakazakii,species,NA
ubiome_bacteriacounts.238,644652,84107,24,95,NA,Gordonibacter,genus,NA
ubiome_bacteriacounts.239,117747,976,24,95,NA,Sphingobacteriia,class,NA
ubiome_bacteriacounts.240,200795,2,24,95,NA,Chloroflexi,phylum,NA
ubiome_bacteriacounts.241,471189,644652,24,95,NA,Gordonibacter pamelaeae,species,NA
ubiome_bacteriacounts.242,47928,1239,23,91,NA,environmental samples,no_rank,NA
ubiome_bacteriacounts.243,1535,1485,23,91,NA,Clostridium leptum,species,NA
ubiome_bacteriacounts.244,846,75682,22,87,NA,Oxalobacter,genus,NA
ubiome_bacteriacounts.245,41295,204441,22,87,NA,Rhodospirillaceae,family,NA
ubiome_bacteriacounts.246,847,846,22,87,NA,Oxalobacter formigenes,species,NA
ubiome_bacteriacounts.247,204441,28211,22,87,NA,Rhodospirillales,order,NA
ubiome_bacteriacounts.248,171552,171549,22,87,NA,Prevotellaceae,family,NA
ubiome_bacteriacounts.249,92488,53335,22,87,NA,Pantoea endophytica,species,NA
ubiome_bacteriacounts.250,301297,200795,22,87,NA,Dehalococcoidia,class,NA
ubiome_bacteriacounts.251,53335,543,22,87,NA,Pantoea,genus,NA
ubiome_bacteriacounts.252,1817,85025,21,83,NA,Nocardia,genus,NA
ubiome_bacteriacounts.253,1496,1481960,21,83,NA,Peptoclostridium difficile,species,NA
ubiome_bacteriacounts.254,1481960,186804,21,83,NA,Peptoclostridium,genus,NA
ubiome_bacteriacounts.255,691816,816,21,83,NA,Bacteroides rodentium,species,NA
ubiome_bacteriacounts.256,85025,85007,21,83,NA,Nocardiaceae,family,NA
ubiome_bacteriacounts.257,699035,1496,21,83,NA,Peptoclostridium difficile M120,no_rank,NA
ubiome_bacteriacounts.258,838,171552,20,79,NA,Prevotella,genus,NA
ubiome_bacteriacounts.259,40520,572511,20,79,NA,[Ruminococcus] obeum,species,NA
ubiome_bacteriacounts.260,85006,2037,20,79,NA,Micrococcineae,suborder,NA
ubiome_bacteriacounts.261,200666,117747,20,79,NA,Sphingobacteriales,order,NA
ubiome_bacteriacounts.262,84567,84566,20,79,NA,Pedobacter,genus,NA
ubiome_bacteriacounts.263,84566,200666,20,79,NA,Sphingobacteriaceae,family,NA
ubiome_bacteriacounts.264,203693,40117,19,75,NA,Nitrospira,class,NA
ubiome_bacteriacounts.265,40117,2,19,75,NA,Nitrospirae,phylum,NA
ubiome_bacteriacounts.266,204432,57723,19,75,NA,Acidobacteriia,class,NA
ubiome_bacteriacounts.267,189778,203693,19,75,NA,Nitrospirales,order,NA
ubiome_bacteriacounts.268,189779,189778,19,75,NA,Nitrospiraceae,family,NA
ubiome_bacteriacounts.269,68295,186801,18,71,NA,Thermoanaerobacterales,order,NA
ubiome_bacteriacounts.270,538999,186802,17,67,NA,Clostridiales incertae sedis,no_rank,NA
ubiome_bacteriacounts.271,134034,1716,17,67,NA,Corynebacterium freneyi,species,NA
ubiome_bacteriacounts.272,433334,128827,17,67,NA,unclassified Erysipelotrichaceae,no_rank,NA
ubiome_bacteriacounts.273,1323,433334,17,67,NA,[Streptococcus] pleomorphus,species,NA
ubiome_bacteriacounts.274,61171,61170,16,63,NA,Holdemania filiformis,species,NA
ubiome_bacteriacounts.275,1637,186820,15,59,NA,Listeria,genus,NA
ubiome_bacteriacounts.276,100175,541000,15,59,NA,Papillibacter,genus,NA
ubiome_bacteriacounts.277,568819,1639,15,59,NA,Listeria monocytogenes serotype 4b str. CLIP 80459,no_rank,NA
ubiome_bacteriacounts.278,1639,1637,15,59,NA,Listeria monocytogenes,species,NA
ubiome_bacteriacounts.279,186820,1385,15,59,NA,Listeriaceae,family,NA
ubiome_bacteriacounts.280,720554,288965,15,59,NA,Clostridium clariflavum DSM 19732,no_rank,NA
ubiome_bacteriacounts.281,288965,1485,15,59,NA,Clostridium clariflavum,species,NA
ubiome_bacteriacounts.282,29,28221,14,55,NA,Myxococcales,order,NA
ubiome_bacteriacounts.283,80812,29,14,55,NA,Sorangiineae,suborder,NA
ubiome_bacteriacounts.284,745002,744995,14,55,NA,OM182 clade,no_rank,NA
ubiome_bacteriacounts.285,712,135625,14,55,NA,Pasteurellaceae,family,NA
ubiome_bacteriacounts.286,135625,1236,14,55,NA,Pasteurellales,order,NA
ubiome_bacteriacounts.287,744995,118884,14,55,NA,OMG group,no_rank,NA
ubiome_bacteriacounts.288,118884,1236,14,55,NA,unclassified Gammaproteobacteria,no_rank,NA
ubiome_bacteriacounts.289,44249,186822,13,51,NA,Paenibacillus,genus,NA
ubiome_bacteriacounts.290,28025,1678,13,51,NA,Bifidobacterium animalis,species,NA
ubiome_bacteriacounts.291,186822,1385,13,51,NA,Paenibacillaceae,family,NA
ubiome_bacteriacounts.292,580024,84107,13,51,NA,Enterorhabdus,genus,NA
ubiome_bacteriacounts.293,1268,85006,12,47,NA,Micrococcaceae,family,NA
ubiome_bacteriacounts.294,79603,84107,12,47,NA,Denitrobacterium,genus,NA
ubiome_bacteriacounts.295,29465,31977,12,47,NA,Veillonella,genus,NA
ubiome_bacteriacounts.296,213118,28221,12,47,NA,Desulfobacterales,order,NA
ubiome_bacteriacounts.297,418453,186814,12,47,NA,Desulfovirgula,genus,NA
ubiome_bacteriacounts.298,52784,541000,12,47,NA,Anaerofilum,genus,NA
ubiome_bacteriacounts.299,186814,68295,12,47,NA,Thermoanaerobacteraceae,family,NA
ubiome_bacteriacounts.300,742726,487174,11,44,NA,Barnesiella intestinihominis YIT 11860,no_rank,NA
ubiome_bacteriacounts.301,1189972,49928,11,44,NA,bacterium NLAE-zl-G423,species,NA
ubiome_bacteriacounts.302,591001,905,11,44,NA,Acidaminococcus fermentans DSM 20731,no_rank,NA
ubiome_bacteriacounts.303,1663,1268,10,40,NA,Arthrobacter,genus,NA
ubiome_bacteriacounts.304,186817,1385,10,40,NA,Bacillaceae,family,NA
ubiome_bacteriacounts.305,724,712,10,40,NA,Haemophilus,genus,NA
ubiome_bacteriacounts.306,28127,838,10,40,NA,Prevotella buccalis,species,NA
ubiome_bacteriacounts.307,626944,1485,9,36,NA,Clostridium sp. YIT 12069,species,NA
ubiome_bacteriacounts.308,136,203692,9,36,NA,Spirochaetales,order,NA
ubiome_bacteriacounts.309,709850,963,9,36,NA,Herbaspirillum sp. TSA30,species,NA
